Dataset,Rep,Depth,Tool,LengthBin,Truth,TP,Recall
ara_UMC_5200,rep3,sequencing_50X,CircleSeeker,>50kb,87,47,0.5402
ara_UMC_5200,rep3,sequencing_50X,CReSIL,<1kb,3073,1459,0.4748
ara_UMC_5200,rep3,sequencing_50X,CReSIL,1-5kb,1764,931,0.5278
ara_UMC_5200,rep3,sequencing_50X,CReSIL,5-50kb,276,99,0.3587
ara_UMC_5200,rep3,sequencing_50X,CReSIL,>50kb,87,44,0.5057
ara_UMC_5200,rep3,sequencing_50X,CReSIL_HiFi,<1kb,3073,1522,0.4953
ara_UMC_5200,rep3,sequencing_50X,CReSIL_HiFi,1-5kb,1764,945,0.5357
ara_UMC_5200,rep3,sequencing_50X,CReSIL_HiFi,5-50kb,276,90,0.3261
ara_UMC_5200,rep3,sequencing_50X,CReSIL_HiFi,>50kb,87,45,0.5172
ara_UMC_5200,rep3,sequencing_50X,eccDNA_RCA,<1kb,3073,2152,0.7003
ara_UMC_5200,rep3,sequencing_50X,eccDNA_RCA,1-5kb,1764,1398,0.7925
ara_UMC_5200,rep3,sequencing_50X,eccDNA_RCA,5-50kb,276,62,0.2246
ara_UMC_5200,rep3,sequencing_50X,eccDNA_RCA,>50kb,87,0,0.0
ara_UMC_5200,rep3,sequencing_50X,ecc_finder,<1kb,3073,11,0.0036
ara_UMC_5200,rep3,sequencing_50X,ecc_finder,1-5kb,1764,24,0.0136
ara_UMC_5200,rep3,sequencing_50X,ecc_finder,5-50kb,276,21,0.0761
ara_UMC_5200,rep3,sequencing_50X,ecc_finder,>50kb,87,41,0.4713
human_U_10000,rep1,sequencing_10X,CircleMap,<1kb,5804,18,0.0031
human_U_10000,rep1,sequencing_10X,CircleMap,1-5kb,3558,733,0.206
human_U_10000,rep1,sequencing_10X,CircleMap,5-50kb,361,206,0.5706
human_U_10000,rep1,sequencing_10X,CircleMap,>50kb,277,158,0.5704
human_U_10000,rep1,sequencing_10X,CircleSeeker,<1kb,5804,5484,0.9449
human_U_10000,rep1,sequencing_10X,CircleSeeker,1-5kb,3558,3397,0.9547
human_U_10000,rep1,sequencing_10X,CircleSeeker,5-50kb,361,291,0.8061
human_U_10000,rep1,sequencing_10X,CircleSeeker,>50kb,277,172,0.6209
human_U_10000,rep1,sequencing_10X,CReSIL,<1kb,5804,2651,0.4568
human_U_10000,rep1,sequencing_10X,CReSIL,1-5kb,3558,2260,0.6352
human_U_10000,rep1,sequencing_10X,CReSIL,5-50kb,361,250,0.6925
human_U_10000,rep1,sequencing_10X,CReSIL,>50kb,277,157,0.5668
human_U_10000,rep1,sequencing_10X,CReSIL_HiFi,<1kb,5804,3841,0.6618
human_U_10000,rep1,sequencing_10X,CReSIL_HiFi,1-5kb,3558,2369,0.6658
human_U_10000,rep1,sequencing_10X,CReSIL_HiFi,5-50kb,361,268,0.7424
human_U_10000,rep1,sequencing_10X,CReSIL_HiFi,>50kb,277,176,0.6354
human_U_10000,rep1,sequencing_10X,eccDNA_RCA,<1kb,5804,4222,0.7274
human_U_10000,rep1,sequencing_10X,eccDNA_RCA,1-5kb,3558,3076,0.8645
human_U_10000,rep1,sequencing_10X,eccDNA_RCA,5-50kb,361,93,0.2576
human_U_10000,rep1,sequencing_10X,eccDNA_RCA,>50kb,277,0,0.0
human_U_10000,rep1,sequencing_10X,ecc_finder,<1kb,5804,16,0.0028
human_U_10000,rep1,sequencing_10X,ecc_finder,1-5kb,3558,616,0.1731
human_U_10000,rep1,sequencing_10X,ecc_finder,5-50kb,361,100,0.277
human_U_10000,rep1,sequencing_10X,ecc_finder,>50kb,277,73,0.2635
human_U_10000,rep2,sequencing_10X,CircleMap,<1kb,5826,20,0.0034
human_U_10000,rep2,sequencing_10X,CircleMap,1-5kb,3574,714,0.1998
human_U_10000,rep2,sequencing_10X,CircleMap,5-50kb,326,193,0.592
human_U_10000,rep2,sequencing_10X,CircleMap,>50kb,274,159,0.5803
human_U_10000,rep2,sequencing_10X,CircleSeeker,<1kb,5826,5482,0.941
human_U_10000,rep2,sequencing_10X,CircleSeeker,1-5kb,3574,3401,0.9516
human_U_10000,rep2,sequencing_10X,CircleSeeker,5-50kb,326,258,0.7914
human_U_10000,rep2,sequencing_10X,CircleSeeker,>50kb,274,175,0.6387
human_U_10000,rep2,sequencing_10X,CReSIL,<1kb,5826,2646,0.4542
human_U_10000,rep2,sequencing_10X,CReSIL,1-5kb,3574,2174,0.6083
human_U_10000,rep2,sequencing_10X,CReSIL,5-50kb,326,211,0.6472
human_U_10000,rep2,sequencing_10X,CReSIL,>50kb,274,152,0.5547
human_U_10000,rep2,sequencing_10X,CReSIL_HiFi,<1kb,5826,3800,0.6522
human_U_10000,rep2,sequencing_10X,CReSIL_HiFi,1-5kb,3574,2318,0.6486
human_U_10000,rep2,sequencing_10X,CReSIL_HiFi,5-50kb,326,243,0.7454
human_U_10000,rep2,sequencing_10X,CReSIL_HiFi,>50kb,274,176,0.6423
human_U_10000,rep2,sequencing_10X,eccDNA_RCA,<1kb,5826,4161,0.7142
human_U_10000,rep2,sequencing_10X,eccDNA_RCA,1-5kb,3574,3036,0.8495
human_U_10000,rep2,sequencing_10X,eccDNA_RCA,5-50kb,326,65,0.1994
human_U_10000,rep2,sequencing_10X,eccDNA_RCA,>50kb,274,0,0.0
human_U_10000,rep2,sequencing_10X,ecc_finder,<1kb,5826,19,0.0033
human_U_10000,rep2,sequencing_10X,ecc_finder,1-5kb,3574,593,0.1659
human_U_10000,rep2,sequencing_10X,ecc_finder,5-50kb,326,92,0.2822
human_U_10000,rep2,sequencing_10X,ecc_finder,>50kb,274,90,0.3285
human_U_10000,rep3,sequencing_10X,CircleMap,<1kb,5842,31,0.0053
human_U_10000,rep3,sequencing_10X,CircleMap,1-5kb,3562,715,0.2007
human_U_10000,rep3,sequencing_10X,CircleMap,5-50kb,354,208,0.5876
human_U_10000,rep3,sequencing_10X,CircleMap,>50kb,242,140,0.5785
human_U_10000,rep3,sequencing_10X,CircleSeeker,<1kb,5842,5507,0.9427
human_U_10000,rep3,sequencing_10X,CircleSeeker,1-5kb,3562,3399,0.9542
human_U_10000,rep3,sequencing_10X,CircleSeeker,5-50kb,354,281,0.7938
human_U_10000,rep3,sequencing_10X,CircleSeeker,>50kb,242,158,0.6529
human_U_10000,rep3,sequencing_10X,CReSIL,<1kb,5842,2627,0.4497
human_U_10000,rep3,sequencing_10X,CReSIL,1-5kb,3562,2171,0.6095
human_U_10000,rep3,sequencing_10X,CReSIL,5-50kb,354,227,0.6412
human_U_10000,rep3,sequencing_10X,CReSIL,>50kb,242,138,0.5702
human_U_10000,rep3,sequencing_10X,CReSIL_HiFi,<1kb,5842,3828,0.6553
human_U_10000,rep3,sequencing_10X,CReSIL_HiFi,1-5kb,3562,2284,0.6412
human_U_10000,rep3,sequencing_10X,CReSIL_HiFi,5-50kb,354,248,0.7006
human_U_10000,rep3,sequencing_10X,CReSIL_HiFi,>50kb,242,158,0.6529
